series,episode,baker,result
1,1,Annetha,IN
1,2,Annetha,OUT
1,3,Annetha,NA
1,4,Annetha,NA
1,5,Annetha,NA
1,6,Annetha,NA
1,1,David,IN
1,2,David,IN
1,3,David,IN
1,4,David,OUT
1,5,David,NA
1,6,David,NA
1,1,Edd,IN
1,2,Edd,IN
1,3,Edd,IN
1,4,Edd,IN
1,5,Edd,IN
1,6,Edd,WINNER
1,1,Jasminder,IN
1,2,Jasminder,IN
1,3,Jasminder,IN
1,4,Jasminder,IN
1,5,Jasminder,OUT
1,6,Jasminder,NA
1,1,Jonathan,IN
1,2,Jonathan,IN
1,3,Jonathan,OUT
1,4,Jonathan,NA
1,5,Jonathan,NA
1,6,Jonathan,NA
1,1,Lea,OUT
1,2,Lea,NA
1,3,Lea,NA
1,4,Lea,NA
1,5,Lea,NA
1,6,Lea,NA
1,1,Louise,IN
1,2,Louise,OUT
1,3,Louise,NA
1,4,Louise,NA
1,5,Louise,NA
1,6,Louise,NA
1,1,Mark,OUT
1,2,Mark,NA
1,3,Mark,NA
1,4,Mark,NA
1,5,Mark,NA
1,6,Mark,NA
1,1,Miranda,IN
1,2,Miranda,IN
1,3,Miranda,IN
1,4,Miranda,IN
1,5,Miranda,IN
1,6,Miranda,Runner-up
1,1,Ruth,IN
1,2,Ruth,IN
1,3,Ruth,IN
1,4,Ruth,IN
1,5,Ruth,IN
1,6,Ruth,Runner-up
2,1,Ben,IN
2,2,Ben,IN
2,3,Ben,IN
2,4,Ben,OUT
2,5,Ben,NA
2,6,Ben,NA
2,7,Ben,NA
2,8,Ben,NA
2,1,Holly,STAR BAKER
2,2,Holly,IN
2,3,Holly,IN
2,4,Holly,STAR BAKER
2,5,Holly,IN
2,6,Holly,IN
2,7,Holly,IN
2,8,Holly,Runner-up
2,1,Ian,IN
2,2,Ian,IN
2,3,Ian,OUT
2,4,Ian,NA
2,5,Ian,NA
2,6,Ian,NA
2,7,Ian,NA
2,8,Ian,NA
2,1,Janet,IN
2,2,Janet,IN
2,3,Janet,IN
2,4,Janet,IN
2,5,Janet,STAR BAKER
2,6,Janet,IN
2,7,Janet,OUT
2,8,Janet,NA
2,1,Jason,IN
2,2,Jason,STAR BAKER
2,3,Jason,IN
2,4,Jason,STAR BAKER
2,5,Jason,OUT
2,6,Jason,NA
2,7,Jason,NA
2,8,Jason,NA
2,1,Joanne,IN
2,2,Joanne,IN
2,3,Joanne,IN
2,4,Joanne,IN
2,5,Joanne,IN
2,6,Joanne,STAR BAKER
2,7,Joanne,IN
2,8,Joanne,WINNER
2,1,Keith,OUT
2,2,Keith,NA
2,3,Keith,NA
2,4,Keith,NA
2,5,Keith,NA
2,6,Keith,NA
2,7,Keith,NA
2,8,Keith,NA
2,1,Mary-Anne,IN
2,2,Mary-Anne,IN
2,3,Mary-Anne,IN
2,4,Mary-Anne,IN
2,5,Mary-Anne,IN
2,6,Mary-Anne,IN
2,7,Mary-Anne,IN
2,8,Mary-Anne,Runner-up
2,1,Robert,IN
2,2,Robert,IN
2,3,Robert,IN
2,4,Robert,IN
2,5,Robert,OUT
2,6,Robert,NA
2,7,Robert,NA
2,8,Robert,NA
2,1,Simon,IN
2,2,Simon,OUT
2,3,Simon,NA
2,4,Simon,NA
2,5,Simon,NA
2,6,Simon,NA
2,7,Simon,NA
2,8,Simon,NA
2,1,Urvashi,IN
2,2,Urvashi,IN
2,3,Urvashi,OUT
2,4,Urvashi,NA
2,5,Urvashi,NA
2,6,Urvashi,NA
2,7,Urvashi,NA
2,8,Urvashi,NA
2,1,Yasmin,IN
2,2,Yasmin,IN
2,3,Yasmin,STAR BAKER
2,4,Yasmin,IN
2,5,Yasmin,IN
2,6,Yasmin,OUT
2,7,Yasmin,NA
2,8,Yasmin,NA
3,1,Brendan,IN
3,2,Brendan,IN
3,3,Brendan,IN
3,4,Brendan,STAR BAKER
3,5,Brendan,IN
3,6,Brendan,STAR BAKER
3,7,Brendan,IN
3,8,Brendan,IN
3,9,Brendan,IN
3,10,Brendan,Runner-up
3,1,Cathryn,IN
3,2,Cathryn,IN
3,3,Cathryn,IN
3,4,Cathryn,IN
3,5,Cathryn,IN
3,6,Cathryn,IN
3,7,Cathryn,IN
3,8,Cathryn,OUT
3,9,Cathryn,NA
3,10,Cathryn,NA
3,1,Danny,IN
3,2,Danny,IN
3,3,Danny,IN
3,4,Danny,IN
3,5,Danny,IN
3,6,Danny,IN
3,7,Danny,STAR BAKER
